qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
8,16,6,0.375,5,0.3125
15,11,6,0.5455,6,0.5455
18,8,2,0.25,5,0.625
26,6,,,,
34,5,,,,
42,17,8,0.4706,,
56,8,3,0.375,6,0.75
68,7,,,,
89,15,11,0.7333,7,0.4667
90,7,4,0.5714,,
94,11,8,0.7273,9,0.8182
98,10,5,0.5,,
104,9,6,0.6667,4,0.4444
106,9,6,0.6667,,
109,14,11,0.7857,6,0.4286
475,14,6,0.4286,5,0.3571
503,5,,,,
504,8,,,,
515,11,11,1.0,1,0.0909
529,4,,,,
547,13,,,1,0.0769
549,14,4,0.2857,6,0.4286
559,10,,,,
570,8,,,,
585,7,7,1.0,1,0.1429
588,10,10,1.0,3,0.3
594,9,9,1.0,3,0.3333
603,15,7,0.4667,,
604,14,10,0.7143,,
620,12,9,0.75,,
622,17,6,0.3529,1,0.0588
659,5,1,0.2,1,0.2
672,3,,,3,1.0
684,12,,,,
687,17,10,0.5882,,
689,14,,,,
691,6,3,0.5,3,0.5
699,5,3,0.6,1,0.2
701,14,,,,
715,7,3,0.4286,,
721,10,3,0.3,3,0.3
744,16,15,0.9375,,
750,17,6,0.3529,1,0.0588
753,6,,,6,1.0
766,9,9,1.0,5,0.5556
776,14,2,0.1429,2,0.1429
810,19,15,0.7895,,
813,4,4,1.0,,
849,7,3,0.4286,,
852,8,1,0.125,1,0.125
853,8,,,7,0.875
858,16,,,4,0.25
859,12,,,,
864,10,3,0.3,4,0.4
879,7,6,0.8571,6,0.8571
885,10,,,1,0.1
895,17,6,0.3529,4,0.2353
904,19,12,0.6316,12,0.6316
928,15,7,0.4667,2,0.1333
929,8,4,0.5,1,0.125
932,16,,,2,0.125
939,11,5,0.4545,3,0.2727
945,14,9,0.6429,,
957,8,8,1.0,,
988,6,,,,
1074,6,4,0.6667,,
1085,8,3,0.375,,
1090,16,16,1.0,,
1150,14,,,9,0.6429
1157,7,6,0.8571,6,0.8571
1159,16,,,4,0.25
1198,12,7,0.5833,7,0.5833
1230,7,,,,
1281,14,2,0.1429,2,0.1429
1284,8,5,0.625,4,0.5
1297,12,8,0.6667,7,0.5833
1306,13,9,0.6923,13,1.0
1309,11,4,0.3636,3,0.2727
1310,11,,,9,0.8182
1321,11,,,,
1322,10,10,1.0,,
1391,11,5,0.4545,,
1393,11,9,0.8182,11,1.0
1415,20,4,0.2,5,0.25
1416,7,4,0.5714,,
1441,8,6,0.75,8,1.0
1451,12,6,0.5,1,0.0833
1469,19,9,0.4737,5,0.2632
1530,14,13,0.9286,8,0.5714
1670,11,2,0.1818,1,0.0909
1676,5,3,0.6,4,0.8
1736,9,7,0.7778,3,0.3333
1748,16,7,0.4375,8,0.5
1783,3,,,,
1812,9,,,7,0.7778
1815,7,4,0.5714,3,0.4286
1819,17,7,0.4118,1,0.0588
1824,14,14,1.0,2,0.1429
1826,18,6,0.3333,7,0.3889
1832,9,,,2,0.2222
1871,13,11,0.8462,9,0.6923
1877,13,7,0.5385,6,0.4615
1889,7,,,,
1915,16,10,0.625,3,0.1875
1920,13,4,0.3077,1,0.0769
1933,23,15,0.6522,7,0.3043
1948,13,9,0.6923,,
1994,11,9,0.8182,11,1.0
2010,7,2,0.2857,1,0.1429
2051,13,,,,
2070,17,16,0.9412,15,0.8824
2075,13,6,0.4615,1,0.0769
2076,14,2,0.1429,1,0.0714
2088,13,,,12,0.9231
2108,12,5,0.4167,1,0.0833
2118,15,8,0.5333,,
2154,10,8,0.8,9,0.9
2181,19,10,0.5263,,
2183,12,4,0.3333,4,0.3333
2204,11,7,0.6364,6,0.5455
2264,6,6,1.0,6,1.0
2296,12,10,0.8333,8,0.6667
2306,12,11,0.9167,6,0.5
2316,14,6,0.4286,5,0.3571
2318,6,5,0.8333,1,0.1667
2330,14,11,0.7857,11,0.7857
2334,14,5,0.3571,5,0.3571
2348,17,11,0.6471,5,0.2941
2376,12,3,0.25,3,0.25
2383,8,8,1.0,3,0.375
2384,4,4,1.0,3,0.75
2385,8,2,0.25,2,0.25
2388,8,4,0.5,3,0.375
2395,6,1,0.1667,1,0.1667
2398,2,2,1.0,1,0.5
2399,12,8,0.6667,,
2400,9,5,0.5556,,
2407,13,13,1.0,1,0.0769
2416,6,6,1.0,5,0.8333
2423,10,3,0.3,3,0.3
2443,16,,,,
2445,13,4,0.3077,4,0.3077
2460,14,9,0.6429,9,0.6429
2465,10,,,,
2472,20,12,0.6,,
2486,14,8,0.5714,5,0.3571
2498,13,,,2,0.1538
2513,14,14,1.0,,
2516,7,4,0.5714,1,0.1429
2549,13,5,0.3846,,
2551,11,4,0.3636,,
2568,8,7,0.875,,
2579,19,7,0.3684,1,0.0526
2580,7,5,0.7143,4,0.5714
2587,9,4,0.4444,3,0.3333
2589,13,9,0.6923,4,0.3077
2590,13,10,0.7692,13,1.0
2593,23,23,1.0,6,0.2609
2598,12,7,0.5833,,
2648,5,3,0.6,2,0.4
2676,6,6,1.0,,
2685,13,2,0.1538,5,0.3846
2695,15,3,0.2,3,0.2
2713,4,,,4,1.0
2724,11,11,1.0,7,0.6364
2737,10,7,0.7,7,0.7
2747,13,8,0.6154,,
2749,16,8,0.5,8,0.5
2790,10,6,0.6,4,0.4
2801,12,3,0.25,7,0.5833
2856,8,7,0.875,2,0.25
2857,13,10,0.7692,10,0.7692
2880,9,6,0.6667,5,0.5556
2885,8,,,1,0.125
2891,10,10,1.0,10,1.0
2895,8,,,4,0.5
2903,9,,,,
2923,10,3,0.3,5,0.5
2964,9,1,0.1111,1,0.1111
2968,9,9,1.0,3,0.3333
2994,8,,,8,1.0
3006,11,10,0.9091,1,0.0909
3008,14,11,0.7857,4,0.2857
3014,10,10,1.0,,
3033,6,5,0.8333,6,1.0
3039,16,11,0.6875,12,0.75
3049,11,6,0.5455,5,0.4545
3051,8,4,0.5,3,0.375
3067,14,,,,
3085,9,5,0.5556,,
3091,10,5,0.5,,
3103,13,3,0.2308,1,0.0769
3115,14,7,0.5,8,0.5714
3125,7,2,0.2857,,
3148,16,5,0.3125,5,0.3125
3149,6,6,1.0,1,0.1667
3177,5,2,0.4,1,0.2
3179,11,11,1.0,1,0.0909
3186,6,5,0.8333,1,0.1667
3189,8,,,,
3254,10,6,0.6,1,0.1
3264,7,5,0.7143,1,0.1429
3357,13,9,0.6923,9,0.6923
3369,13,,,2,0.1538
3394,11,7,0.6364,,
3404,15,11,0.7333,2,0.1333
3405,9,9,1.0,,
3446,9,7,0.7778,5,0.5556
3451,12,3,0.25,,
3453,9,8,0.8889,4,0.4444
3480,9,3,0.3333,3,0.3333
3490,5,,,,
3500,6,6,1.0,2,0.3333
3503,17,7,0.4118,2,0.1176
3512,16,14,0.875,3,0.1875
3528,14,10,0.7143,11,0.7857
3530,7,6,0.8571,3,0.4286
3534,5,,,,
3566,24,5,0.2083,1,0.0417
3569,10,,,,
3594,27,21,0.7778,1,0.037
3612,13,13,1.0,,
3615,16,,,8,0.5
3625,9,7,0.7778,8,0.8889
3682,5,,,,
3683,6,5,0.8333,6,1.0
3694,14,14,1.0,5,0.3571
3724,9,9,1.0,1,0.1111
3735,6,4,0.6667,,
3759,3,,,,
3767,11,10,0.9091,5,0.4545
3771,8,5,0.625,1,0.125
3781,14,14,1.0,14,1.0
3789,17,8,0.4706,6,0.3529
3791,19,5,0.2632,2,0.1053
3801,11,,,1,0.0909
3822,11,8,0.7273,5,0.4545
3829,8,7,0.875,,
3830,10,6,0.6,7,0.7
3837,15,15,1.0,15,1.0
3859,22,,,3,0.1364
3875,20,5,0.25,5,0.25
3888,9,,,1,0.1111
3909,8,7,0.875,7,0.875
3932,10,9,0.9,2,0.2
3934,14,11,0.7857,1,0.0714
3995,11,9,0.8182,2,0.1818
4007,15,15,1.0,5,0.3333
4011,10,8,0.8,,
4019,15,,,10,0.6667
4031,20,,,,
4037,9,4,0.4444,5,0.5556
4047,9,4,0.4444,2,0.2222
4071,14,,,,
4084,8,5,0.625,7,0.875
4102,17,11,0.6471,1,0.0588
4103,10,,,,
4105,15,10,0.6667,,
4116,13,7,0.5385,13,1.0
4125,7,,,,
4142,7,5,0.7143,,
4153,7,,,,
4179,18,10,0.5556,,
4188,12,,,,
