qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test0,8,4,0.5,4,0.5
test1,9,6,0.6667,8,0.8889
test2,10,5,0.5,4,0.4
test3,9,4,0.4444,2,0.2222
test4,9,1,0.1111,1,0.1111
test5,8,5,0.625,5,0.625
test6,8,2,0.25,2,0.25
test7,10,5,0.5,5,0.5
test8,8,,,,
test9,12,4,0.3333,4,0.3333
test10,11,5,0.4545,5,0.4545
test11,10,4,0.4,5,0.5
test12,9,4,0.4444,4,0.4444
test13,8,5,0.625,5,0.625
test14,14,8,0.5714,8,0.5714
test15,9,5,0.5556,5,0.5556
test16,12,8,0.6667,8,0.6667
test17,8,8,1.0,8,1.0
test18,9,5,0.5556,6,0.6667
test19,8,4,0.5,4,0.5
test20,11,5,0.4545,5,0.4545
test21,8,,,,
test22,8,4,0.5,5,0.625
test23,13,11,0.8462,11,0.8462
test24,18,,,11,0.6111
test25,8,3,0.375,3,0.375
test26,12,11,0.9167,,
test27,8,8,1.0,,
test28,15,8,0.5333,8,0.5333
test29,8,6,0.75,6,0.75
test30,8,8,1.0,8,1.0
test31,9,7,0.7778,7,0.7778
test32,8,3,0.375,3,0.375
test33,8,4,0.5,2,0.25
test34,8,5,0.625,5,0.625
test35,9,8,0.8889,8,0.8889
test36,8,3,0.375,3,0.375
test37,8,,,,
test38,8,,,,
test39,10,2,0.2,2,0.2
test40,8,6,0.75,6,0.75
test41,9,3,0.3333,3,0.3333
test42,9,7,0.7778,7,0.7778
test43,8,4,0.5,5,0.625
test44,7,5,0.7143,5,0.7143
test45,11,4,0.3636,4,0.3636
test46,9,,,,
test47,8,4,0.5,7,0.875
test48,8,5,0.625,5,0.625
test49,8,3,0.375,3,0.375
test50,8,3,0.375,3,0.375
test51,8,6,0.75,8,1.0
test52,9,9,1.0,,
test53,8,3,0.375,3,0.375
test54,11,9,0.8182,9,0.8182
test55,11,11,1.0,11,1.0
test56,8,,,,
test57,9,7,0.7778,7,0.7778
test58,8,4,0.5,4,0.5
test59,8,8,1.0,8,1.0
test60,8,2,0.25,2,0.25
test61,8,4,0.5,4,0.5
test62,8,7,0.875,7,0.875
test63,8,7,0.875,7,0.875
test64,8,4,0.5,4,0.5
test65,8,8,1.0,8,1.0
test66,10,4,0.4,3,0.3
test67,8,7,0.875,7,0.875
test68,8,8,1.0,8,1.0
test69,9,7,0.7778,7,0.7778
test70,9,3,0.3333,3,0.3333
test71,12,11,0.9167,10,0.8333
test72,8,5,0.625,5,0.625
test73,11,,,,
test74,8,3,0.375,5,0.625
test75,8,8,1.0,8,1.0
test76,9,7,0.7778,7,0.7778
test77,12,,,,
test78,9,8,0.8889,8,0.8889
test79,9,3,0.3333,3,0.3333
test80,8,4,0.5,4,0.5
test81,11,4,0.3636,4,0.3636
test82,8,4,0.5,4,0.5
test83,15,7,0.4667,7,0.4667
test84,10,8,0.8,8,0.8
test85,8,4,0.5,4,0.5
test86,10,,,8,0.8
test87,11,6,0.5455,,
test88,9,9,1.0,,
test89,9,8,0.8889,8,0.8889
test90,8,4,0.5,4,0.5
test91,10,,,,
test92,8,4,0.5,4,0.5
test93,8,4,0.5,4,0.5
test94,12,5,0.4167,5,0.4167
test95,9,9,1.0,,
test96,8,,,,
test97,8,3,0.375,3,0.375
test98,8,5,0.625,5,0.625
test99,9,4,0.4444,7,0.7778
test100,10,4,0.4,4,0.4
test101,9,5,0.5556,5,0.5556
test102,8,5,0.625,5,0.625
test103,9,3,0.3333,3,0.3333
test104,9,3,0.3333,3,0.3333
test105,10,4,0.4,3,0.3
test106,10,4,0.4,10,1.0
test107,8,5,0.625,5,0.625
test108,9,7,0.7778,7,0.7778
test109,8,8,1.0,8,1.0
test110,10,6,0.6,6,0.6
test111,8,6,0.75,6,0.75
test112,11,7,0.6364,7,0.6364
test113,9,9,1.0,9,1.0
test114,11,6,0.5455,6,0.5455
test115,12,2,0.1667,2,0.1667
test116,13,9,0.6923,9,0.6923
test117,8,6,0.75,6,0.75
test118,8,5,0.625,8,1.0
test119,8,3,0.375,3,0.375
test120,13,4,0.3077,4,0.3077
test121,8,6,0.75,6,0.75
test122,9,9,1.0,9,1.0
test123,8,6,0.75,6,0.75
test124,9,4,0.4444,4,0.4444
test125,13,4,0.3077,4,0.3077
test126,8,4,0.5,4,0.5
test127,8,1,0.125,1,0.125
test128,8,3,0.375,3,0.375
test129,8,6,0.75,6,0.75
test130,9,6,0.6667,6,0.6667
test131,8,,,,
test132,9,7,0.7778,7,0.7778
test133,9,7,0.7778,6,0.6667
test134,9,,,,
test135,8,3,0.375,4,0.5
test136,9,7,0.7778,7,0.7778
test137,8,3,0.375,3,0.375
test138,11,10,0.9091,10,0.9091
test139,11,6,0.5455,6,0.5455
test140,9,4,0.4444,3,0.3333
test141,8,7,0.875,8,1.0
test142,9,7,0.7778,7,0.7778
test143,10,4,0.4,5,0.5
test144,9,8,0.8889,9,1.0
test145,9,4,0.4444,4,0.4444
test146,8,5,0.625,5,0.625
test147,8,4,0.5,4,0.5
test148,16,1,0.0625,1,0.0625
test149,8,3,0.375,3,0.375
test150,18,8,0.4444,3,0.1667
test151,8,5,0.625,5,0.625
test152,8,6,0.75,6,0.75
test153,9,4,0.4444,4,0.4444
test154,12,6,0.5,6,0.5
