qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test0,8,4,0.5,5,0.625
test1,9,6,0.6667,,
test2,10,5,0.5,5,0.5
test3,9,4,0.4444,4,0.4444
test4,9,1,0.1111,1,0.1111
test5,8,,,,
test6,8,2,0.25,1,0.125
test7,10,,,,
test8,8,,,,
test9,12,11,0.9167,,
test10,11,,,,
test11,10,5,0.5,5,0.5
test12,9,6,0.6667,4,0.4444
test13,8,5,0.625,,
test14,14,8,0.5714,12,0.8571
test15,9,5,0.5556,6,0.6667
test16,12,12,1.0,,
test17,8,,,,
test18,9,,,,
test19,8,5,0.625,6,0.75
test20,11,5,0.4545,5,0.4545
test21,8,,,,
test22,8,5,0.625,6,0.75
test23,13,13,1.0,,
test24,18,,,,
test25,8,5,0.625,3,0.375
test26,12,12,1.0,,
test27,8,,,,
test28,15,8,0.5333,,
test29,8,,,,
test30,8,8,1.0,,
test31,9,9,1.0,8,0.8889
test32,8,4,0.5,,
test33,8,4,0.5,2,0.25
test34,8,7,0.875,5,0.625
test35,9,,,,
test36,8,3,0.375,3,0.375
test37,8,,,7,0.875
test38,8,,,,
test39,10,,,,
test40,8,8,1.0,8,1.0
test41,9,8,0.8889,,
test42,9,7,0.7778,,
test43,8,,,,
test44,7,,,,
test45,11,4,0.3636,4,0.3636
test46,9,,,,
test47,8,,,,
test48,8,,,8,1.0
test49,8,,,,
test50,8,,,,
test51,8,6,0.75,8,1.0
test52,9,,,,
test53,8,3,0.375,1,0.125
test54,11,,,,
test55,11,,,,
test56,8,,,,
test57,9,7,0.7778,7,0.7778
test58,8,7,0.875,7,0.875
test59,8,8,1.0,8,1.0
test60,8,4,0.5,4,0.5
test61,8,4,0.5,,
test62,8,7,0.875,8,1.0
test63,8,7,0.875,8,1.0
test64,8,4,0.5,4,0.5
test65,8,,,,
test66,10,,,,
test67,8,,,,
test68,8,,,,
test69,9,7,0.7778,1,0.1111
test70,9,9,1.0,,
