interaction_id,question_type,n_words,retrieved_gold_clean,t_suf_clean,phi_suf_clean,retrieved_gold_string,t_suf_string,phi_suf_string
5a8b57f25542995d1e6f1371,comparison,10,True,1,0.1,False,,
5a8c7595554299585d9e36b6,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a85ea095542994775f606a8,bridge,25,True,1,0.04,True,1,0.04
5adbf0a255429947ff17385a,comparison,13,True,3,0.23076923076923078,False,,
5a8e3ea95542995a26add48d,bridge,16,True,2,0.125,True,2,0.125
5abd94525542992ac4f382d2,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5a85b2d95542997b5ce40028,bridge,17,True,3,0.17647058823529413,True,3,0.17647058823529413
5a87ab905542996e4f3088c1,bridge,15,True,5,0.3333333333333333,True,5,0.3333333333333333
5a7bbb64554299042af8f7cc,bridge,8,True,1,0.125,True,1,0.125
5a8db19d5542994ba4e3dd00,comparison,11,True,2,0.18181818181818182,False,,
5a7166395542994082a3e814,bridge,29,True,2,0.06896551724137931,True,7,0.2413793103448276
5a877e5d5542993e715abf7d,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5ab3b0bf5542992ade7c6e39,bridge,22,True,4,0.18181818181818182,True,4,0.18181818181818182
5ab56e32554299637185c594,comparison,13,True,2,0.15384615384615385,True,1,0.07692307692307693
5ab6d09255429954757d337d,bridge,13,True,1,0.07692307692307693,True,3,0.23076923076923078
5a75e05c55429976ec32bc5f,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ab3e45655429976abd1bcd4,bridge,21,True,2,0.09523809523809523,True,13,0.6190476190476191
5ab29c24554299449642c932,comparison,10,True,5,0.5,False,,
5ae0d4c9554299603e418468,bridge,22,True,1,0.045454545454545456,False,,
5a8133725542995ce29dcbdb,comparison,11,True,1,0.09090909090909091,False,,
5ae7a8175542993210983ed8,bridge,20,True,2,0.1,True,2,0.1
5ae6050f55429929b0807a5e,bridge,11,True,2,0.18181818181818182,True,2,0.18181818181818182
5adddccd5542997dc7907069,bridge,20,True,1,0.05,True,2,0.1
