interaction_id,question_type,n_words,t_star,measured_saved_ms,H_predicted_ms
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,11,2,1135.49,600.0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,14,2,1157.65,600.0
37d00a45-b707-4f82-8ad5-faaab9f7f24a,comparison,19,1,1074.65,600.0
59c155d1-c888-4fca-a4ad-14778e848efe,simple,8,8,-569.33,0.0
1015c11e-ebfb-44aa-8dc1-7d8742b2feca,simple_w_condition,10,2,1158.67,600.0
4afd82c6-af57-41b2-9848-f0ec9479efd5,simple,10,1,-928.06,600.0
2e03317d-d5d0-4814-8bb9-72dee71f5c52,comparison,17,13,-659.39,600.0
4ef3290a-1d97-4c93-a1d2-e57a5822e114,simple,9,2,1193.43,600.0
9be1e42c-e119-4379-a0b2-aaddc34eb429,aggregation,16,8,1117.43,600.0
17f084f8-5db0-41bf-b9b5-ec81b95e2191,simple,5,1,667.31,600.0
508a207a-f44d-4d4d-b875-4615878d250d,aggregation,15,1,1145.42,600.0
8e71ea4f-0b1e-4560-a05e-69b322d96f49,aggregation,8,3,628.07,600.0
639d2cc0-99d6-4346-ac63-e963568d80f4,aggregation,7,3,1186.94,600.0
a250a5fc-76ed-4de1-8005-b0ac944cc004,simple_w_condition,10,1,1174.32,600.0
7a77679e-d88b-4acf-9532-94e32233950b,comparison,10,8,1164.42,600.0
40da23a9-d45d-4afa-b5d3-8da790da9d40,simple_w_condition,7,1,1175.69,600.0
81148a6f-de74-4624-a2b3-794e9ed5ab76,multi-hop,11,5,601.35,600.0
6d325128-6b64-4045-ae5f-c4ebab5d842d,simple_w_condition,8,1,-570.94,600.0
2a56eddc-9aa9-4377-86b3-f1e4283fa677,aggregation,14,3,1146.98,600.0
2d866dcc-5a48-429d-8fc5-9117dfd4395f,post-processing,12,9,1164.37,600.0
1443794f-87da-4e41-a425-ff08ab1b4640,simple_w_condition,6,3,995.13,600.0
129da772-7047-418c-9871-98801c6dbee8,simple,13,2,1164.1,600.0
aa29b165-d6ac-423b-88a2-7a6ec06e0273,simple_w_condition,15,1,-204.85,600.0
688ce190-86a9-4e4f-9028-e1f1b268d6c9,simple,13,1,1143.36,600.0
9b770c69-f54f-46d8-bbb4-d89e098d82fb,simple,12,8,1145.35,600.0
251c298e-e240-444d-ade3-426b99cd03b1,simple,9,3,1179.48,600.0
2d8bdc48-5286-4e13-aac5-2aeb0f089d12,simple,11,5,1175.27,600.0
fab53292-d446-4ea1-aeb3-bd24c03cc264,aggregation,17,2,-633.67,600.0
6f6452ef-7e3d-4e3b-b789-d8800b980687,comparison,11,6,1182.28,600.0
ce18f7dd-f5fb-4e36-91c4-442cb0afe7e4,simple,11,3,1159.49,600.0
959e4644-d7e9-4063-a916-73107ca91015,comparison,17,1,1132.05,600.0
7ce64475-a26d-4991-b716-e0c6a00c5fe7,comparison,11,1,1183.78,600.0
e35f001a-b9f5-465e-b311-34789352d9fd,aggregation,13,1,1149.99,600.0
18b80586-84df-4c04-aa35-16b849977a6d,simple,11,1,606.12,600.0
ed8aa3dc-3d28-4633-99f4-c01e19ea1f49,simple,8,3,1172.07,600.0
f9df617d-0815-4116-b345-f90e24b6bceb,simple,9,3,1167.83,600.0
c43aa75e-bf23-403b-90d1-d1dbd97ca559,simple_w_condition,10,2,1173.96,600.0
89e63c8a-1be3-4790-a381-d56b0b022231,comparison,13,1,1127.79,600.0
36a8f12f-43ec-4558-8ffa-ca882993569c,simple,11,2,-627.13,600.0
8057669d-3e4a-4d11-a9e0-20982e83cdae,comparison,17,3,1133.49,600.0
c491de27-e364-495a-8042-380e76863962,comparison,15,1,993.46,600.0
d9223437-5337-4dd9-a8b9-708d62ab8172,simple,8,7,-585.48,333.33
bcc88678-d327-4792-b6f5-bb7efc33e2c6,multi-hop,15,3,-1348.3,600.0
8ac3b4fd-ef94-46fb-bd7b-e7716e9b2c9e,comparison,12,1,959.62,600.0
12ecfd39-1425-4957-9c86-321581048ef2,simple,6,1,1016.08,600.0
c6bb3372-bf98-4ace-abb8-c1e4de37234a,simple_w_condition,9,5,1182.59,600.0
616089dc-bcd2-40c0-a0d9-fa57bcfd2cec,simple,13,2,-959.29,600.0
95395d91-4c20-42d2-a83a-63cd7ceb9de0,comparison,10,3,1158.1,600.0
26c71ab4-7e91-4fca-9ee0-bf37112a60e0,comparison,15,2,992.29,600.0
15d28e34-405b-42a8-8a73-41fcb9584845,simple,11,5,1165.06,600.0
a0dd8a0d-e8a9-46d7-b930-e30af0cb3671,simple,8,1,1155.85,600.0
8afb7c54-21de-4dae-9afd-71b317dae885,simple,8,2,-547.11,600.0
6a0ab652-c65e-4857-b209-16fafd25ee9e,aggregation,14,1,-639.66,600.0
e588ec25-c9e8-4354-aead-4448c92fdda6,post-processing,12,4,951.52,600.0
fe5b74d1-f54c-4954-862a-8f99df1a32df,simple,12,2,1181.41,600.0
02078fd7-8b65-496e-8b14-79bd27880e01,simple,6,4,999.86,600.0
5268e83b-ba85-44a3-b8eb-f3a494ed053f,simple,8,2,1170.56,600.0
470277f4-2101-4aaa-a35e-c44b4a7bf758,simple,9,4,1000.57,600.0
e292786e-67d0-4f1e-ae29-701b1a008e0c,simple_w_condition,11,6,1151.81,600.0
5023f14a-b9f3-4c23-9eff-bb8497998b2d,simple,14,4,1140.52,600.0
