interaction_id,question_type,n_words,t_star,measured_saved_ms,H_predicted_ms
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,17,2,1169.81,600.0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,15,8,1178.34,600.0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,10,9,331.31,333.33
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,9,7,1188.63,600.0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,16,12,1173.56,600.0
2d4079bd-fb87-4b89-8119-be2c2fecda16,simple_w_condition,13,4,1180.41,600.0
9263d16c-88a7-408c-9679-56afbe542fa4,set,12,9,994.68,600.0
ac242919-01c2-4563-a0fe-44cf59c7046c,set,11,7,1179.88,600.0
f51e7907-0f76-483e-b449-11b02eea1d78,comparison,14,4,1185.18,600.0
7499dee8-9270-4dd1-a2bc-69eaf734d13e,false_premise,11,9,1174.49,600.0
5710f505-3717-40cc-87fd-f63affaec718,false_premise,7,7,1185.77,0.0
59c155d1-c888-4fca-a4ad-14778e848efe,simple,8,8,1171.51,0.0
e93e3e85-68ce-4be9-ad5a-621f43f1b569,simple,11,10,1188.35,333.33
fd686881-eab3-48b9-838e-5927ff80772b,aggregation,8,4,1189.97,600.0
5d728c53-bb1f-4bcd-924a-1e5e26738821,simple_w_condition,20,17,1162.57,600.0
7025d79d-3af3-4d54-9561-5e04c0aca271,simple_w_condition,13,6,1178.46,600.0
47859020-9974-4c81-a897-96594beca8fb,aggregation,11,7,1184.96,600.0
2937d471-499c-476d-a15c-ee3bb76c21cc,simple,20,18,1171.27,600.0
fa3412c6-4c86-4574-aeb6-66456bc79970,comparison,13,11,1185.55,600.0
ef6a5c59-5008-40f1-aeef-849b81701755,post-processing,16,16,1162.61,0.0
6c8083ab-3c18-4ca0-8f42-a397ac9b4476,simple_w_condition,15,15,1189.17,0.0
0281ab0c-116c-4f79-a46b-41f978ef0f17,set,9,4,1177.63,600.0
fadc8994-65cb-4929-8599-7f7b7b220844,set,10,4,1181.98,600.0
8e71ea4f-0b1e-4560-a05e-69b322d96f49,aggregation,8,1,1172.68,600.0
ff7d4fd0-dccb-4d5c-8ad4-01c1187a324c,aggregation,11,9,1185.77,600.0
58c1d9cb-83b5-46fa-a6a1-82b82b9b50de,simple_w_condition,17,11,1178.08,600.0
085d8971-5d3a-4d23-bb24-ad9557109dcf,set,9,4,1164.59,600.0
35d9f1d3-9b51-4d69-9add-2adf20928b1b,false_premise,12,9,1187.22,600.0
a250a5fc-76ed-4de1-8005-b0ac944cc004,simple_w_condition,10,9,1181.42,333.33
58626c02-73e6-4f27-aec8-e6c337fafe95,set,13,13,1182.99,0.0
e236c396-9a53-4af8-bfe7-cbbe9c30e87a,simple,11,2,1189.08,600.0
0bc90619-c2c7-4cf2-958a-1bf05d8dff72,simple_w_condition,22,18,1171.31,600.0
764389ef-bcae-49a8-85e9-ffcbd4e550d7,simple,9,9,1181.89,0.0
6ad1e71e-273c-4433-b671-c3beacefd3ad,simple,9,6,1182.1,600.0
24dad42d-3f22-44cc-97b0-eec13daaf629,simple_w_condition,15,12,1187.28,600.0
c56ad40f-e035-4fe5-b4f6-d231d693096b,multi-hop,8,6,1186.42,600.0
6d325128-6b64-4045-ae5f-c4ebab5d842d,simple_w_condition,8,5,1189.55,600.0
f404444b-6d80-444d-b666-ae9d133ced8f,simple,7,5,-865.54,600.0
673bd952-6963-47e7-b1e7-53e3c6435643,simple_w_condition,11,9,1185.86,600.0
b451c008-5cdd-464d-8f3d-56d07cc065e8,simple_w_condition,14,11,645.29,600.0
4e20bfc3-c87a-466b-9f98-d6dd930158ff,simple_w_condition,14,14,1179.78,0.0
4c388032-fc74-44c9-8876-ee54bdd2b5b8,false_premise,10,10,1157.68,0.0
7b319b8d-8780-4ae2-9c71-3a98b4df724c,simple_w_condition,8,3,1188.11,600.0
d44f3217-ddf8-470c-b85d-68a3ef7fff43,simple,7,4,1174.68,600.0
b2b8ccc4-370c-4e5b-892a-3926d6fc8783,false_premise,12,12,1181.93,0.0
8acceb85-a002-4b9d-a6c5-3615666707d6,simple_w_condition,10,2,1172.2,600.0
99a45a86-ef00-40e7-a251-2b3afca06b5d,comparison,11,11,1177.75,0.0
ce1ddb48-52c9-4f2d-8968-a4d33bf20525,simple,9,5,997.72,600.0
630a8081-815d-4de7-90de-60e0444354be,simple,11,11,1164.34,0.0
8aa79783-c530-47f8-982c-08ab9b170806,aggregation,6,1,994.27,600.0
152cd6c2-005f-4c8f-81ce-55fc7f13f477,set,8,4,1191.51,600.0
53bd6bad-26e3-4a0c-ad86-729ab5cc9f7f,comparison,20,16,1179.51,600.0
a00bb355-d094-41df-a1de-2514e36c5f6e,simple_w_condition,12,9,1172.17,600.0
aa615125-42c2-4159-8b9f-f41ec7ec596e,comparison,13,9,1190.8,600.0
13ea1049-2593-4f93-a46e-89dc336f1e91,multi-hop,11,5,1189.22,600.0
b4e25eb6-79e1-462e-8e6b-3f8830c2bb17,simple_w_condition,11,9,1161.33,600.0
d379af33-b53b-4d4c-95c7-9b189257777e,comparison,10,3,1189.53,600.0
60639bb8-cd12-48e7-9b20-668835842517,aggregation,9,2,1175.12,600.0
4a2872d3-db18-4242-b565-cbf87ebc1c92,aggregation,17,17,1191.06,0.0
5d250283-8e8b-48d0-9538-6fdee8b4079f,simple_w_condition,9,5,1191.61,600.0
