interaction_id,domain,question_type,static_or_dynamic,n_words,n_passages,groundable,retrieved_gold,t_sc,phi_sc,t_suf,phi_suf,volatility
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,sports,post-processing,static,17,270,False,False,16,0.9412,,,0
55b219e5-ba31-4318-a73d-551f0fb9c546,finance,multi-hop,real-time,11,110,True,True,9,0.8182,2,0.1818,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,movie,simple,static,14,166,True,True,2,0.1429,2,0.1429,0
ddfc9471-4496-4fef-bf05-994233fa4340,finance,multi-hop,fast-changing,15,284,False,False,13,0.8667,,,2
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,open,post-processing,static,10,51,False,False,7,0.7,,,0
9864fff2-af82-495c-ab18-a6c589635d29,open,false_premise,static,9,130,False,False,6,0.6667,,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,finance,simple_w_condition,static,16,164,False,False,9,0.5625,,,0
2d4079bd-fb87-4b89-8119-be2c2fecda16,finance,simple_w_condition,static,13,86,False,False,7,0.5385,,,0
9263d16c-88a7-408c-9679-56afbe542fa4,movie,set,slow-changing,12,277,False,False,8,0.6667,,,0
7752219e-72eb-44c7-bf83-a52a00c7b5da,music,simple_w_condition,fast-changing,10,65,True,False,2,0.2,,,0
37d00a45-b707-4f82-8ad5-faaab9f7f24a,music,comparison,slow-changing,19,307,True,True,19,1.0,1,0.0526,0
ac242919-01c2-4563-a0fe-44cf59c7046c,movie,set,static,11,87,True,False,11,1.0,,,0
f51e7907-0f76-483e-b449-11b02eea1d78,finance,comparison,fast-changing,14,103,False,False,14,1.0,,,4
7499dee8-9270-4dd1-a2bc-69eaf734d13e,open,false_premise,static,11,319,False,False,11,1.0,,,0
5710f505-3717-40cc-87fd-f63affaec718,sports,false_premise,fast-changing,7,91,False,False,2,0.2857,,,0
59c155d1-c888-4fca-a4ad-14778e848efe,sports,simple,fast-changing,8,253,True,True,7,0.875,8,1.0,0
e93e3e85-68ce-4be9-ad5a-621f43f1b569,movie,simple,static,11,57,True,False,11,1.0,,,2
41354a30-fd4f-4ae7-b234-566136410e16,sports,simple_w_condition,fast-changing,9,63,True,False,4,0.4444,,,0
fd686881-eab3-48b9-838e-5927ff80772b,sports,aggregation,slow-changing,8,58,False,False,8,1.0,,,0
5d728c53-bb1f-4bcd-924a-1e5e26738821,sports,simple_w_condition,slow-changing,20,172,False,False,19,0.95,,,0
7025d79d-3af3-4d54-9561-5e04c0aca271,movie,simple_w_condition,static,13,112,False,False,13,1.0,,,2
1015c11e-ebfb-44aa-8dc1-7d8742b2feca,sports,simple_w_condition,static,10,103,True,True,10,1.0,2,0.2,0
4afd82c6-af57-41b2-9848-f0ec9479efd5,movie,simple,static,10,159,True,True,9,0.9,1,0.1,0
2e03317d-d5d0-4814-8bb9-72dee71f5c52,sports,comparison,slow-changing,17,215,True,True,17,1.0,13,0.7647,0
47859020-9974-4c81-a897-96594beca8fb,movie,aggregation,static,11,117,False,False,11,1.0,,,0
4ef3290a-1d97-4c93-a1d2-e57a5822e114,sports,simple,static,9,358,True,True,9,1.0,2,0.2222,0
2937d471-499c-476d-a15c-ee3bb76c21cc,finance,simple,real-time,20,122,False,False,20,1.0,,,4
9be1e42c-e119-4379-a0b2-aaddc34eb429,sports,aggregation,slow-changing,16,131,True,True,16,1.0,8,0.5,0
fa3412c6-4c86-4574-aeb6-66456bc79970,finance,comparison,static,13,150,False,False,13,1.0,,,3
17f084f8-5db0-41bf-b9b5-ec81b95e2191,finance,simple,real-time,5,62,True,True,2,0.4,1,0.2,0
ef6a5c59-5008-40f1-aeef-849b81701755,music,post-processing,static,16,167,False,False,9,0.5625,,,2
6c8083ab-3c18-4ca0-8f42-a397ac9b4476,finance,simple_w_condition,fast-changing,15,56,False,False,15,1.0,,,2
0281ab0c-116c-4f79-a46b-41f978ef0f17,music,set,static,9,400,False,False,9,1.0,,,0
fadc8994-65cb-4929-8599-7f7b7b220844,music,set,static,10,102,False,False,10,1.0,,,4
508a207a-f44d-4d4d-b875-4615878d250d,sports,aggregation,fast-changing,15,94,True,True,15,1.0,1,0.0667,0
8e71ea4f-0b1e-4560-a05e-69b322d96f49,open,aggregation,slow-changing,8,160,True,True,6,0.75,3,0.375,0
ff7d4fd0-dccb-4d5c-8ad4-01c1187a324c,open,aggregation,slow-changing,11,78,False,False,7,0.6364,,,3
58c1d9cb-83b5-46fa-a6a1-82b82b9b50de,movie,simple_w_condition,static,17,166,False,False,13,0.7647,,,2
085d8971-5d3a-4d23-bb24-ad9557109dcf,finance,set,static,9,371,False,False,8,0.8889,,,0
639d2cc0-99d6-4346-ac63-e963568d80f4,sports,aggregation,slow-changing,7,250,True,True,5,0.7143,3,0.4286,0
35d9f1d3-9b51-4d69-9add-2adf20928b1b,movie,false_premise,static,12,27,False,False,12,1.0,,,4
a250a5fc-76ed-4de1-8005-b0ac944cc004,sports,simple_w_condition,static,10,238,True,True,9,0.9,1,0.1,0
7a77679e-d88b-4acf-9532-94e32233950b,finance,comparison,slow-changing,10,162,True,True,8,0.8,8,0.8,0
58626c02-73e6-4f27-aec8-e6c337fafe95,movie,set,static,13,69,False,False,13,1.0,,,0
e236c396-9a53-4af8-bfe7-cbbe9c30e87a,finance,simple,real-time,11,73,False,False,6,0.5455,,,2
0bc90619-c2c7-4cf2-958a-1bf05d8dff72,music,simple_w_condition,static,22,285,False,False,21,0.9545,,,0
40da23a9-d45d-4afa-b5d3-8da790da9d40,sports,simple_w_condition,static,7,151,True,True,7,1.0,1,0.1429,0
81148a6f-de74-4624-a2b3-794e9ed5ab76,sports,multi-hop,static,11,154,True,True,11,1.0,5,0.4545,0
764389ef-bcae-49a8-85e9-ffcbd4e550d7,music,simple,static,9,400,False,False,9,1.0,,,0
6ad1e71e-273c-4433-b671-c3beacefd3ad,movie,simple,static,9,133,True,False,9,1.0,,,2
24dad42d-3f22-44cc-97b0-eec13daaf629,sports,simple_w_condition,fast-changing,15,30,False,False,4,0.2667,,,0
c56ad40f-e035-4fe5-b4f6-d231d693096b,open,multi-hop,static,8,98,False,False,8,1.0,,,0
6d325128-6b64-4045-ae5f-c4ebab5d842d,movie,simple_w_condition,static,8,400,True,True,8,1.0,1,0.125,0
f404444b-6d80-444d-b666-ae9d133ced8f,finance,simple,fast-changing,7,74,False,False,7,1.0,,,0
673bd952-6963-47e7-b1e7-53e3c6435643,open,simple_w_condition,slow-changing,11,51,False,False,7,0.6364,,,2
b451c008-5cdd-464d-8f3d-56d07cc065e8,music,simple_w_condition,static,14,400,False,False,12,0.8571,,,0
4e20bfc3-c87a-466b-9f98-d6dd930158ff,finance,simple_w_condition,fast-changing,14,81,True,False,7,0.5,,,0
2a56eddc-9aa9-4377-86b3-f1e4283fa677,finance,aggregation,slow-changing,14,64,True,True,10,0.7143,3,0.2143,0
4c388032-fc74-44c9-8876-ee54bdd2b5b8,sports,false_premise,static,10,400,False,False,10,1.0,,,0
7b319b8d-8780-4ae2-9c71-3a98b4df724c,sports,simple_w_condition,static,8,385,False,False,8,1.0,,,0
d44f3217-ddf8-470c-b85d-68a3ef7fff43,finance,simple,real-time,7,113,False,False,4,0.5714,,,0
b2b8ccc4-370c-4e5b-892a-3926d6fc8783,open,false_premise,static,12,271,False,False,12,1.0,,,2
cb7b187b-93c0-40ea-b8f7-c7ae7f0ed29e,movie,comparison,static,14,32,True,False,12,0.8571,,,5
2d866dcc-5a48-429d-8fc5-9117dfd4395f,sports,post-processing,static,12,191,True,True,12,1.0,9,0.75,0
8acceb85-a002-4b9d-a6c5-3615666707d6,music,simple_w_condition,static,10,83,False,False,10,1.0,,,0
99a45a86-ef00-40e7-a251-2b3afca06b5d,open,comparison,slow-changing,11,182,False,False,9,0.8182,,,0
ce1ddb48-52c9-4f2d-8968-a4d33bf20525,music,simple,static,9,66,False,False,9,1.0,,,0
630a8081-815d-4de7-90de-60e0444354be,music,simple,static,11,283,False,False,11,1.0,,,0
8aa79783-c530-47f8-982c-08ab9b170806,open,aggregation,static,6,64,False,False,6,1.0,,,0
1443794f-87da-4e41-a425-ff08ab1b4640,open,simple_w_condition,static,6,85,True,True,3,0.5,3,0.5,0
129da772-7047-418c-9871-98801c6dbee8,movie,simple,static,13,130,True,True,13,1.0,2,0.1538,0
152cd6c2-005f-4c8f-81ce-55fc7f13f477,finance,set,static,8,98,False,False,8,1.0,,,2
aa29b165-d6ac-423b-88a2-7a6ec06e0273,sports,simple_w_condition,fast-changing,15,303,True,True,14,0.9333,1,0.0667,4
688ce190-86a9-4e4f-9028-e1f1b268d6c9,movie,simple,static,13,181,True,True,13,1.0,1,0.0769,0
53bd6bad-26e3-4a0c-ad86-729ab5cc9f7f,music,comparison,slow-changing,20,142,False,False,20,1.0,,,0
a00bb355-d094-41df-a1de-2514e36c5f6e,music,simple_w_condition,static,12,194,False,False,10,0.8333,,,0
aa615125-42c2-4159-8b9f-f41ec7ec596e,movie,comparison,static,13,27,False,False,12,0.9231,,,3
13ea1049-2593-4f93-a46e-89dc336f1e91,open,multi-hop,static,11,52,False,False,11,1.0,,,5
b4e25eb6-79e1-462e-8e6b-3f8830c2bb17,movie,simple_w_condition,static,11,327,False,False,11,1.0,,,0
d379af33-b53b-4d4c-95c7-9b189257777e,finance,comparison,fast-changing,10,72,False,False,8,0.8,,,0
9b770c69-f54f-46d8-bbb4-d89e098d82fb,movie,simple,static,12,59,True,True,12,1.0,8,0.6667,2
60639bb8-cd12-48e7-9b20-668835842517,sports,aggregation,slow-changing,9,400,False,False,9,1.0,,,0
4a2872d3-db18-4242-b565-cbf87ebc1c92,music,aggregation,static,17,132,False,False,17,1.0,,,0
5d250283-8e8b-48d0-9538-6fdee8b4079f,finance,simple_w_condition,fast-changing,9,82,False,False,9,1.0,,,0
d94f14d1-87ef-43c9-ab6d-ff4dd695d517,sports,aggregation,slow-changing,13,56,False,False,13,1.0,,,4
f57c42db-a07a-43f7-aeec-30e8cbd841ce,music,aggregation,slow-changing,18,364,False,False,17,0.9444,,,2
251c298e-e240-444d-ade3-426b99cd03b1,sports,simple,slow-changing,9,58,True,True,8,0.8889,3,0.3333,0
9b209cc7-0b2f-4793-a28c-5c14cc52e32f,sports,comparison,static,14,82,True,False,14,1.0,,,0
787795e8-14c5-4f9a-8a8f-4a39030340e7,open,set,static,9,129,False,False,5,0.5556,,,0
e4d0074b-af04-4acd-80b3-30745e6a0d16,open,false_premise,static,10,200,False,False,10,1.0,,,0
cadf9a62-defd-46b2-9758-086bc16b864f,open,multi-hop,static,9,103,False,False,6,0.6667,,,0
2d8bdc48-5286-4e13-aac5-2aeb0f089d12,movie,simple,slow-changing,11,244,True,True,10,0.9091,5,0.4545,0
fab53292-d446-4ea1-aeb3-bd24c03cc264,sports,aggregation,static,17,93,True,True,17,1.0,2,0.1176,0
b8e81474-d076-45c2-86da-87cf81fd5326,music,simple,static,9,51,True,False,9,1.0,,,0
ff8487e5-df98-47f1-a750-e675a62cd53c,open,false_premise,slow-changing,8,308,False,False,6,0.75,,,2
c2985da3-2154-49f5-9345-2e416372c951,open,comparison,slow-changing,14,168,False,False,9,0.6429,,,0
62f92c5d-d3ad-4935-8153-01e191712e84,music,comparison,slow-changing,13,46,False,False,9,0.6923,,,3
6f6452ef-7e3d-4e3b-b789-d8800b980687,sports,comparison,static,11,39,True,True,11,1.0,6,0.5455,0
75e54c83-f11b-413e-aebc-909bf3d436da,movie,multi-hop,static,10,164,False,False,9,0.9,,,0
2a8d23b1-643b-4206-93b0-904c9392cf32,movie,simple_w_condition,static,18,136,False,False,12,0.6667,,,0
ce18f7dd-f5fb-4e36-91c4-442cb0afe7e4,movie,simple,static,11,196,True,True,3,0.2727,3,0.2727,0
b5cdaab3-9470-410c-98e4-4e6f6c4d6523,movie,set,static,12,139,False,False,12,1.0,,,3
d32feb9a-e3f8-4c4b-bc31-83d8a2c441c3,open,simple_w_condition,static,12,97,False,False,11,0.9167,,,2
959e4644-d7e9-4063-a916-73107ca91015,movie,comparison,slow-changing,17,85,True,True,11,0.6471,1,0.0588,7
13e98c1b-0893-43c7-b414-375ab0842ba8,movie,comparison,static,13,94,False,False,11,0.8462,,,0
89c96ad5-38e6-45ae-8b5f-f5f1a5f09add,finance,simple,real-time,10,71,False,False,5,0.5,,,0
7ce64475-a26d-4991-b716-e0c6a00c5fe7,finance,comparison,real-time,11,126,True,True,11,1.0,1,0.0909,2
e35f001a-b9f5-465e-b311-34789352d9fd,movie,aggregation,static,13,400,True,True,13,1.0,1,0.0769,2
1dbed424-c912-4075-a4a6-c360a0ff5b67,finance,simple,slow-changing,9,32,False,False,9,1.0,,,3
6bfc8de1-cb1f-44cb-9f95-afae35f81bcd,movie,false_premise,static,9,79,False,False,9,1.0,,,0
45f2ad9e-aca7-41a6-b40f-b164a6489eb7,movie,simple,static,16,24,False,False,7,0.4375,,,0
dac79424-617c-4401-a64e-25d123467ba0,movie,simple,static,15,76,False,False,15,1.0,,,6
0847edf5-453d-459b-bec4-37b518d0257a,finance,false_premise,fast-changing,8,51,False,False,8,1.0,,,0
18b80586-84df-4c04-aa35-16b849977a6d,movie,simple,static,11,392,True,True,11,1.0,1,0.0909,0
d28ca5b4-c130-40f9-afdd-21478535b110,finance,set,static,12,117,False,False,7,0.5833,,,0
62374fd1-a71d-4498-9a6b-c058016f3fa7,music,comparison,slow-changing,19,278,False,False,19,1.0,,,5
297af9ae-a4dd-4a12-b7e8-e2355f4aaf5f,sports,set,slow-changing,13,139,False,False,10,0.7692,,,0
ed8aa3dc-3d28-4633-99f4-c01e19ea1f49,open,simple,static,8,66,True,True,6,0.75,3,0.375,2
f9df617d-0815-4116-b345-f90e24b6bceb,finance,simple,real-time,9,92,True,True,3,0.3333,3,0.3333,0
6ce84a94-c3fa-48d1-b80c-06ecfd42dd1c,music,false_premise,static,18,172,False,False,14,0.7778,,,0
1e5a1b84-cf20-4654-b12e-1a6806beb8d3,music,multi-hop,slow-changing,12,195,False,False,8,0.6667,,,0
e09a9c97-9eb1-44a4-b7a3-74c53d2353a6,sports,false_premise,fast-changing,7,93,False,False,7,1.0,,,2
27eee8b3-82cf-4012-9250-e8756438e7a3,finance,false_premise,fast-changing,15,75,False,False,15,1.0,,,2
a7b3376c-590f-4279-9e46-1fb678b9865d,open,false_premise,static,8,56,False,False,6,0.75,,,0
c43aa75e-bf23-403b-90d1-d1dbd97ca559,sports,simple_w_condition,static,10,110,True,True,10,1.0,2,0.2,0
29cfb9ea-9143-435b-ab45-b95279d3d45f,finance,simple_w_condition,slow-changing,10,73,False,False,8,0.8,,,0
89e63c8a-1be3-4790-a381-d56b0b022231,finance,comparison,static,13,86,True,True,11,0.8462,1,0.0769,0
79958b09-41ea-4bce-aac8-f066291ec06f,finance,simple,fast-changing,13,57,False,False,10,0.7692,,,0
78e10d1d-49bb-4256-aeeb-d1a3b7f30cb0,movie,aggregation,static,10,47,False,False,10,1.0,,,0
36a8f12f-43ec-4558-8ffa-ca882993569c,movie,simple,static,11,161,True,True,11,1.0,2,0.1818,0
1b1a3e0e-5725-4c5c-822c-3c5e06b1d16c,open,false_premise,slow-changing,7,39,False,False,7,1.0,,,3
a6f80f35-c75e-4433-9bc9-070af91afeeb,finance,post-processing,static,11,107,False,False,5,0.4545,,,0
8057669d-3e4a-4d11-a9e0-20982e83cdae,sports,comparison,static,17,63,True,True,13,0.7647,3,0.1765,4
84de50c0-e6d1-4152-bea2-879659fd74cd,sports,set,fast-changing,15,146,False,False,9,0.6,,,0
c491de27-e364-495a-8042-380e76863962,open,comparison,slow-changing,15,396,True,True,13,0.8667,1,0.0667,0
c1597464-35a9-4a8b-9326-902f19b122f8,finance,set,static,17,75,False,False,12,0.7059,,,0
cf35e327-6ae5-40c7-89d5-ee2f91934b3f,finance,simple,real-time,11,38,False,False,4,0.3636,,,0
fa38b3aa-69a6-466d-912e-2c1b203afcc4,movie,post-processing,static,11,170,False,False,7,0.6364,,,0
6a5ebc85-5ec5-4c37-a1c3-ddf28bde391f,open,aggregation,slow-changing,8,231,True,False,6,0.75,,,0
d9223437-5337-4dd9-a8b9-708d62ab8172,open,simple,slow-changing,8,196,True,True,7,0.875,7,0.875,0
dee786fe-96d0-4de0-ba99-9dfbc032cd53,sports,set,static,13,241,False,False,13,1.0,,,2
bcc88678-d327-4792-b6f5-bb7efc33e2c6,open,multi-hop,static,15,400,True,True,11,0.7333,3,0.2,0
d5e6eeb0-103d-4917-8be8-5b8e82d30ae4,open,post-processing,slow-changing,9,86,True,False,8,0.8889,,,3
751565af-f2db-4db0-9a1f-2582f1603b22,sports,set,static,8,183,False,False,8,1.0,,,0
f660d8f0-6c7c-4db2-b997-1c31816dbe46,open,false_premise,static,9,106,False,False,9,1.0,,,2
8ac3b4fd-ef94-46fb-bd7b-e7716e9b2c9e,open,comparison,slow-changing,12,310,True,True,11,0.9167,1,0.0833,0
12ecfd39-1425-4957-9c86-321581048ef2,open,simple,slow-changing,6,43,True,True,6,1.0,1,0.1667,0
c6bb3372-bf98-4ace-abb8-c1e4de37234a,sports,simple_w_condition,static,9,80,True,True,9,1.0,5,0.5556,0
3472d7a6-0360-402f-96cd-64a3006e1572,music,post-processing,static,18,96,False,False,16,0.8889,,,2
616089dc-bcd2-40c0-a0d9-fa57bcfd2cec,movie,simple,static,13,136,True,True,13,1.0,2,0.1538,0
